district_name,male_10s_20s,male_30s_40s,male_50s_60s_above,female_10s_20s,female_30s_40s,female_50s_60s_above
종로구,18059,80091,39631,23901,54115,18288
중구,28899,106917,46434,45683,80821,25543
용산구,14020,58582,29781,23604,39219,11175
성동구,6383,24033,18400,7392,14889,9593
광진구,6840,23406,20509,7278,13380,10030
동대문구,5973,20503,17567,6274,16376,13657
중랑구,2075,9756,11156,2800,8285,5251
성북구,7074,33646,27352,8602,23729,10353
강북구,1140,5953,8225,1817,5674,5437
도봉구,1905,9065,10046,2343,7156,5873
노원구,2977,13432,14254,4254,12230,9554
은평구,2616,11559,11769,3426,10882,8655
서대문구,3899,16718,16663,4248,12743,11894
마포구,12470,43419,25877,15583,30122,15331
양천구,10091,42191,32469,11981,27047,15823
강서구,8675,42011,33752,13559,34503,17219
구로구,11629,47663,29046,11008,25575,14899
금천구,11373,42045,27551,9892,21159,14406
영등포구,36693,167894,66551,33469,65262,27854
동작구,7182,22983,16698,5614,14131,11458
관악구,4983,19979,15093,6181,15503,11140
서초구,48362,203258,128244,51949,102237,42888
강남구,105583,418521,168255,121032,219550,88260
송파구,29182,132691,89111,29748,72246,46750
강동구,4487,18872,20001,5235,13870,12535
